 (Half Day),（半天）
No Email Account,没有电子邮箱账号
No Email Accounts Assigned,未分派电子邮箱账号
No Emails,没有电子邮件
No Employee found for the given employee field value. '{}': {},找不到给定员工字段值的员工。 &#39;{}&#39;：{}
No Employee Found,找不到员工
No employee found,未找到任何员工
No employees for the mentioned criteria,没有符合条件的员工
No Events Today,今天无事件
no failed attempts,没有失败的尝试
No failed logs,无出错信息
No file attached,文件未添加
No filters found,无过滤条件
No further records,没有下一个记录了
No gain or loss in the exchange rate,汇率没有收益或损失
No Google Contacts present to sync.,没有Google联系人可供同步。
No GST No. found for the Company.,没有找到公司的GST编号。
No issue raised by the customer.,客户没有提出任何问题。
No Item with Barcode {0},没有条码为{0}的物料
No Item with Serial No {0},没启用序列号管理为{0}的物料
No Items added to cart,购物车未添加物料
No Items available for transfer,无可移转物料
No Items Found,无数据
No items found.,未找到任何项目。
No items in cart,物料车为空
No items listed,没有物料
No Items selected for transfer,请选择物料
No items to be received are overdue,无已逾期待入库物料
No Items to pack,未选择需打包物料
No items to publish,没有需要发布的物料
No Items with Bill of Materials to Manufacture,无已定义BOM的待生产物料
No Items with Bill of Materials.,无已维护BOM的物料。
No jobs found on this site,本站点无当前任务
No Lab Test created,没有创建化验
No Label,无标签
No leave record found for employee {0} for {1},未找到员工{0}的休假记录{1}
No Letter Head,无信头
No Matching Bank Transactions Found,无待核销银行交易流水数据
No matching records. Search something new,没有符合条件的记录。搜索新的东西
No Matching Vouchers Found,无匹配凭证
No material request created,无需创建的物料需求
No more items to display,没有更多要显示的条目
No more updates,没有更多的更新
No new Google Contacts synced.,没有新的Google通讯录同步。
No New notifications,暂无新通知
No Notes,无备注
No of Columns,列编号
No of emails remaining to be synced,没有剩余的电子邮件进行同步
No of Employees,员工数
No of Interactions,没有相互作用
No of Months (Expense),月份数(费用)
No of Months,周期(月)
No of People,人数
No of Requested SMS,请求短信数量
No of Rows (Max 500),记录数（最大500行）
No of Seats,座位数
No of Sent SMS,发送短信数量
No of Shares,股份数目
No of Visits,巡修次数
No of. Positions,职位数量
No open event,无未关闭事件
No open task,无未关闭任务
No outstanding invoices found for the {0} <b>{1}</b>.,未找到{0} <b>{1}的</b>未关闭订单或发票。
No Outstanding Invoices found for this party,未找到待核销发票
No outstanding invoices found,没有找到未完成的发票
No outstanding invoices require exchange rate revaluation,没有未结清的发票需要汇率重估
No pending Material Requests found to link for the given items.,指定物料没有对应的待处理物料需求。
No pending or current jobs for this site,本站点无当前或即将处理的后台任务
No permission for {0},无权限操作{0}
No permission for {doctype},没有{doctype}的权限
No permission to '{0}' {1},没有权限“{0}” {1}
No permission to edit,无权限进行编辑
No permission to read {0},没有读取{0}的权限
No permission to {0} {1} {2},无权{0} {1} {2}
No Permission,无此权限
No Permissions set for this criteria.,没有符合条件的权限。
No Permissions Specified,未指定权限
No Preview Available,预览不可用
No Preview,无预览
No Printer is Available.,没有可用打印机。
No products found,没有找到产品
No products found.,找不到产品。
No Quote,无报价
No record found,未找到记录
No Records Created,暂无数据
No records deleted,没有记录被删除
No records found in the Invoice table,没有在发票表中找到记录
No records found in the Payment table,没有在支付表中找到记录
No records present in {0},{0}中没有记录
No records tagged.,没有记录被标记。
No records will be exported,没有满足条件的记录
No Remarks,无备注
No repayments available for Journal Entry,没有可用于日记账凭证的还款
No repayments selected for Journal Entry,没有为日记账凭证选择还款
No replies from,从没有回复
No Result to submit,没有结果提交
No Result,没有结果
No results found for {0} in Global Search,很抱歉，没有找到与{0}相关的结果
No Results found,无数据
No Results,没有结果
No salary slip found to submit for the above selected criteria OR salary slip already submitted,没有发现提交上述选定标准或已提交工资单的工资单
No Salary Structure assigned for Employee {0} on given date {1},没有为员工{0}在日期{1}分配薪资结构
No Show,没有出现
No Staffing Plans found for this Designation,无此职位的人力需求计划
No stock transactions can be created or modified before this date.,库存交易(物料移动)记账日期不得早于此日期
No Student Groups created.,未创建班级。
No students Found,没有学生
No Students in,没有学生
No Tags,无标签
No tasks,没有任务
No Tax Withholding data found for the current Fiscal Year.,本财年无代扣税款数据。
No template found at path: {0},从{0}路径中找不到模板
No time sheets,无工时表
No Unreconciled Invoices and Payments found for this party and account,未找到待核销发票与收付款凭证
No Unreconciled Payments found for this party,未找到待核销收付款凭证
No Upcoming Events,无未处理事项
No user found,无用户
No values to show,没有要显示的值
No values,无金额
No Work Orders created,没有创建工单
No {0} found for Inter Company Transactions.,关联公司交易没有找到{0}。
No {0} found,没有找到{0}
No {0} mail,没有{0}邮件
No {0} permission,无{0}权限
No,否
NO,没有
No. of Employees,员工数
No. of print,打印数量
Non Conformance,不合格报告单
Non Diary,非乳制品
Non GST Inward Supplies,非消费税进口供应
Non Profit (beta),公益组织（测试版）
Non Profit Manager,公益组织经理
Non Profit Member,非盈利会员
Non Profit,公益组织
Non-Group to Group,非组转为组
Non-GST outward supplies,非商品及服务税外向供应
Non-Vegetarian,非素食主义者
None of the items have any change in quantity or value.,物料数量或金额无任何变化。
none of,没有
None,没有
None: End of Workflow,无：工作流结束
Normal Range,普通范围
Normal reference range for an adult is 16–20 breaths/minute (RCP 2012),成人的正常参考范围是16-20次呼吸/分钟（RCP 2012）
Normal Test Items,正常测试物料
Normal Test Template,正常测试模板
Normal,正常
Nos,个
Not a valid Comma Separated Value (CSV File),不是一个有效的CSV文件
Not a valid LDAP user,不是有效的LDAP用户
Not a valid User Image.,非有效用户图像。
Not a valid user,不是有效的用户
Not a valid Workflow Action,不是有效的工作流操作
Not a zip file,没有一个zip文件
Not active,非活动
Not allow to set alternative item for the item {0},不允许为物料{0}设置替代物料
Not allowed for {0} = {1} in Row {2},不允许第{2}行中的{0} = {1}
Not allowed for {0} = {1},不允许{0} = {1}
Not allowed for {0}: {1} in Row {2}. Restricted field: {3},第{2}行中不允许{0}：{1}。受限制的字段：{3}
Not allowed for {0}: {1},不允许{0}：{1}
Not allowed for {0}: {1}. Restricted field: {2},不允许{0}：{1}。受限制的字段：{2}
Not allowed from this IP Address,不允许访问此IP地址
Not allowed to change {0} after submission,不允许提交后更改{0}
Not allowed to Import,不允许导入
Not allowed to print cancelled documents,不允许打印已取消的单据
Not allowed to print draft documents,不允许打印草稿状态单据
Not allowed to update stock transactions older than {0},不允许对早于{0}的库存交易进行更新
Not allowed via controller permission check,自定义代码权限检查has_permission不通过
Not Allowed,不允许
Not Allowed: Disabled User,不允许：用户已被禁用
Not Ancestors Of,不是()父结点
Not Applicable,不适用
Not authorized to edit frozen Account {0},无权修改冻结科目{0}
Not authroized since {0} exceeds limits,不允许，因为{0}超出范围
Not Available,不可用
Not Billed,未开票
Not Certified,未认证
Not Delivered,未出货
Not Descendants Of,不是()子结点
Not eligible for the admission in this program as per DOB,按照DOB的规定，没有资格参加本计划
Not enough permission to see links,没有足够的权限查看链接
Not Equals,不等于
Not equals,不等于
Not Expired,未过期
Not Found,未找到
Not found,未找到
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,未开启开发模式！请在site_config.json中设置或创建一个自定义单据类型
Not in Developer Mode,未在开发模式下
Not in stock,缺货
Not items found,未找到物料
Not Like,不含关键字
not like,不含关键字
Not Linked to any record,未链接到任何记录
Not Marked,未标记
not nn,不包括,
Not Paid and Not Delivered,未付款，未出货
Not permitted for {0},不允许{0}
Not permitted to view {0},没有权限查看{0}
Not Permitted,没有权限
Not permitted,没有权限
Not permitted. Please disable the Procedure Template,不允许。请禁用程序模板
Not permitted. Please disable the Service Unit Type,不允许。请禁用服务单位类型
Not permitted. Please disable the Test Template,不允许。请禁用测试模板
Not Published,未发布
Not Saved,尚未保存
Not Seen,未阅
Not Sent,未发送
Not Set,未设置
Not Specified,未标明
Not Started,未开始
Not Updated,未更新
Note Seen By,看过笔记的人
Note,备注
Note: By default emails for failed backups are sent.,注意：默认情况下，备份失败会自动发电子邮件。
Note: Changing the Page Name will break previous URL to this page.,注意：更改页面名称将会破坏此页面的上一个URL。
Note: Due / Reference Date exceeds allowed customer credit days by {0} day(s),注意：到期日/计入日已超过客户信用日期{0}天。
Note: Email will not be sent to disabled users,注意：邮件不会发送给已禁用用户
Note: Item {0} added multiple times,注：物料 {0} 添加了多次
Note: Item {0} entered multiple times,注意：物料{0}已多次输入
Note: Multiple sessions will be allowed in case of mobile device,注：在使用移动设备时允许多个会话
Note: On checking Is Mandatory the accounting dimension will become mandatory against that specific account for all accounting transactions,备注：如在科目清单中勾选必填，过账到该科目的所有业务都强制输入辅助核算
Note: Other permission rules may also apply,注：其它权限规则也可申请
Note: Payment Entry will not be created since 'Cash or Bank Account' was not specified,注意：未指定“现金或银行科目”，无法创建收付款凭证
Note: System will not check over-delivery and over-booking for Item {0} as quantity or amount is 0,注意：系统将不会为物料{0}检查超额发货或超额预订，因为其数量或金额为0
Note: There is not enough leave balance for Leave Type {0},注意：休假期类型{0}的剩余天数不够
Note: This Cost Center is a Group. Cannot make accounting entries against groups.,注：此成本中心是一个组，会计分录不能对组录入。
Note: Total allocated leaves {0} shouldn't be less than already approved leaves {1} for the period,注：期间内总分配休假{0}应不低于已核定休假{1}
Note: {0},注： {0}
Note:,备注：
Notes,备注
Notes: ,笔记：
Notes:,注意事项：
Nothing is included in gross,无毛利数据
Nothing more to show.,没有更多内容。
Nothing to change,没有变更
Nothing to request,没有申请内容
Nothing to show,无数据
Nothing to update,无需更新
Notice (days),通告（天）
Notice Period,通知期
Notification Control,通知控制
Notification Recipient,通知收件人
Notification Settings,通知设置
Notification Tones,通知音
Notification,通知
Notifications and bulk mails will be sent from this outgoing server.,通知和简讯将从此服务器发送。
Notifications,通知
Notified by Email,通过电子邮件通知
Notify by Email on creation of automatic Material Request,自动生成物料需求时发送邮件通知
Notify by Email,通过电子邮件发送通知
Notify Customers via Email,通过电子邮件通知客户
Notify Employee,通知员工
Notify if unreplied for (in mins),如果一分钟内未回复，则发出通知
Notify if unreplied,如果没有回复的通知
Notify Other,通知其他
Notify Supplier,通知供应商
Notify users by email,邮件通知用户
Notify Users On Every Login,每次登录时通知用户
Notify users with a popup when they log in,用户登录后以弹框通知
November,11月
Now,现在
now,现在
Number Card Link,数字卡链接
Number Format,数字格式
Number of Backups,备份数量
Number of columns for a field in a Grid (Total Columns in a grid should be less than 11),表格总列数应小于11
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),在单据列表或子表单列表中所占列数（合计列数应小于11）
Number of columns for this section. 3 cards will be shown per row if you select 3 columns.,此分区列数。如果选择3列，每行将显示3张卡片。
Number of Columns,列数
Number of days after invoice date has elapsed before canceling subscription or marking subscription as unpaid,在取消订阅或将订阅标记为未付之前，发票日期之后的天数已过
Number of days after which the document Web View link shared on email will be expired,透过邮件共享的登录链接多久后过期
Number of Days in Fiscal Year,财年天数
Number of days that the subscriber has to pay invoices generated by this subscription,用户必须支付此订阅生成的发票的天数
Number of DB backups cannot be less than 1,数据库备份数不能少于1
Number of DB Backups,数据库备份数
Number of Depreciations Booked cannot be greater than Total Number of Depreciations,预订折旧数不能超过折旧总数更大
Number of Depreciations Booked,已记账折旧次数
Number Of Employees,在职员工人数
Number of Groups,分组数量
Number of Interaction,交互次数
Number of Order,下单次数
Number of positions cannot be less then current count of employees,职位数量不能少于当前员工人数
Number Of Positions,人数
Number of root accounts cannot be less than 4,根(一级)科目数不能少于4
Number of serial nos and quantity must be the same,序列号和数量必须相同
Number,数
Numeric Inspection,检验数值
Numeric Values,数字值
Numeric,数值
Nursing User,护理用户
Nutrition Values,营养状况
OAuth Authorization Code,OAuth的授权码
OAuth Bearer Token,OAuth的承载令牌
OAuth Client,OAuth客户端
OAuth Provider Settings,OAuth的提供商设置
Objective,目的
Objectives,目标
Occupancy Status,占用状况
Occupation,职业
Occupational Hazards and Environmental Factors,职业危害与环境因素
Occupied,占据
October,10月
Odisha,奥里萨邦
Odometer Reading,里程表读数
Odometer Value (Last),已行驶里程
Odometer,里程表读数
of,/
Off,离
Offer Date,录用日期
Offer Term,录用通知条款
Office Equipments,办公设备
Office Maintenance Expenses,办公维护费用
Office Rent,办公室租金
Office,办公室
Offline POS Name,离线POS名称
Offline POS Section,离线POS部分
Offline POS Settings,离线POS设置
Offline,离线
Oil Change,换油
Old Parent,旧上级
Old Password Required.,需要旧密码
Old Password,旧密码
Older backups will be automatically deleted,旧的备份将被自动删除
On Duty,值班
On Hold,冻结
On Item Quantity,基于物料数量
On Leave,休假
On Net Total,基于未税金额
On Payment Authorization,付款授权
On Previous Row Amount,基于前一行的金额
On Previous Row Total,基于前一行的总计
On Track,正常
on,上
On,于
On-machine press checks,机器压力测试
on_cancel,取消
on_change,字段值变更
on_submit,提交
on_trash,删除
on_update,变更
on_update_after_submit,提交后变更
Onboard,初始化步骤
Onboarding Permission,初始化权限
Onboarding Step Map,初始化步骤对照表
Onboarding Step,初始化步骤
Onboarding,使用向导
One customer can be part of only single Loyalty Program.,一个客户只能参与一个积分方案。
One Last Step,最后一步
One of,之一
one of,其中
One Sided,单面
One Time Password (OTP) Registration Code from {},来自{}的一次性密码（OTP）注册码
Ongoing,处理中
Online Auctions,网上拍卖
Online,在线
Only .csv and .xlsx files are supported currently,目前仅支持.csv和.xlsx文件
Only 200 inserts allowed in one request,只有200将允许一个请求
Only Administrator allowed to create Query / Script Reports,只有管理员可以创建查询/报表的脚本
Only Administrator can delete Email Queue,只有管理员可以删除邮件队列
Only Administrator can edit,只有管理员可以编辑
Only Administrator can save a standard report. Please rename and save.,只有管理员可以保存标准报表。请修改为新报表名后保存。
Only Administrator is allowed to create Dashboard Chart Sources,仅允许管理员创建数据面板图表源
Only Administrator is allowed to use Recorder,只允许管理员使用记录器
Only Allow Edit For,角色（允许编辑）
Only for,仅限
Only If Creator,限单据创建者
Only Include Allocated Payments,仅含已分配(核销)付款
Only leaf nodes are allowed in transaction,只有子节点才可用于业务单据中
Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,仅可以提交状态为“已批准”和“已拒绝”的休假申请
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,新记录中只有必填字段是必须的。可以删除非必填字段。
Only select if you have setup Cash Flow Mapper documents,只有在设置了“现金流量映射器”单据时才能选择
Only Send Records Updated in Last X Hours,只发送最后X小时更新的记录
Only show Customer of these Customer Groups,仅显示这些客户组的客户
Only show Items from these Item Groups,仅显示这些物料组中的物料
Only standard DocTypes are allowed to be customized from Customize Form.,只允许从“定制表单”定制标准DocType。
Only Tax Impact (Cannot Claim But Part of Taxable Income),只影响计税起征点（不能从起征点内扣除）
Only users involved in the document are listed,仅列出单据中涉及的用户
Only users with {0} role can register on Marketplace,只有{0}角色的用户才能在网上交易市场注册
Only {0} emailed reports are allowed per user,只有{0}电子邮件报表是每个用户可以
Only {0} entries shown. Please filter for more specific results.,只显示{0}条记录。请使用过滤条件过滤更具体的结果。
Only {0} in stock for item {1},物料{1}的库存仅为{0}
only.,。
Oops! Something went wrong,糟糕！出事了
OP Consulting Charge,OP咨询费
Open a dialog with mandatory fields to create a new record quickly,通过仅含必填字段的对话框快速创建新单据
Open a module or tool,打开一个模块或工具
Open a new ticket,创建新客服工单
Open Awesomebar,打开Awesomebar
Open BOM {0},打开BOM {0}
Open Documents,未结案单据
Open Events,未关闭事件
Open Help,打开帮助
Open Issues,未处理问题
Open Item {0},打开物料{0}
Open Link,打开链接
Open list item,打开列表项
Open Notifications,未处理通知
Open Orders,未开始订单
Open Projects,未结案项目
Open Quotations,待处理报价单
Open Sales Orders,未结销售订单
Open Settings,打开设置
Open Source Applications for the Web,开源为Web应用程序
Open Tasks,未关闭任务
Open To Do,未关闭待办
Open Translation,打开翻译
Open Work Orders,未开始生产工单
Open your authentication app on your mobile phone.,在手机上打开授权认证应用程序。
Open {0},打开{0}
Open,待处理
open,待处理
Opened,开业
Opening & Closing,POS机交接班
Opening (Cr),期初（贷方 ）
Opening (Dr),期初（借方）
Opening Accounting Balance,初始科目余额
Opening Accumulated Depreciation must be less than equal to {0},累计折旧必须小于等于{0}
Opening Accumulated Depreciation,累计折旧
Opening Amount,起始金额
Opening and Closing,开账与关账
Opening Balance Details,起始余额明细
Opening Balance Equity,所有者权益期初余额
Opening Balance,期初余额
Opening Balances,期初余额
Opening Date and Closing Date should be within same Fiscal Year,开账日期和结账日期应在同一财年
Opening Date should be before Closing Date,开账日应早于结账日
Opening Date,问题提交日期
Opening Entry Journal,开账凭证
Opening Entry,开账凭证
Opening Invoice Creation Tool Item,发票创建工具明细
Opening Invoice Creation Tool,发票创建工具
Opening Invoice Item,待处理发票明细
Opening Invoices Summary,待创建发票汇总
Opening Invoices,待创建发票
Opening Qty,期初数量
Opening Stock Balance,期初库存余额
Opening Stock,期初库存
Opening Time,问题提交时间
Opening Value,期初金额
Opening {0} Invoice created,开账{0}已创建发票
Opening,期初
Operating Cost (Company Currency),工费成本（本币）
Operating Cost Per BOM Quantity,每个成品工费成本
Operating Cost(Company Currency),工费成本（本币）
Operating Cost,工费成本
Operating Costs,工费成本
Operation completed for how many finished goods?,多少成品工序已完成？
Operation Description,工序说明
Operation ID,工序ID
Operation Section,工序信息
Operation Time ,工序时间,
Operation time does not depend on quantity to produce,加工(操作)时间不随着生产数量变化
Operation Time must be greater than 0 for Operation {0},工序{0}的时间必须大于0
Operation Time,工序时间
Operation,工序
Operations & Materials,物料与工序
Operations cannot be left blank,请填写工序信息
Operations,工序
Operator must be one of {0},运算符必须是{0}
Operator,操作员
Operators,操作员
Opp Count,商机数量
Opp/Lead %,商机 / 线索％
Opportunities by lead source,商机（按线索来源）
Opportunities,商机
Opportunity Amount (Company Currency),商机金额(公司币种)
Opportunity Amount,商机金额
Opportunity Date,商机日期
Opportunity From field is mandatory,商机来源是必填字段
Opportunity From,商机来源
Opportunity Item,商机明细
Opportunity Lost Reason,商机未成交原因
Opportunity Owner,商机负责人
Opportunity Summary by Sales Stage,商机汇总(按销售阶段)
Opportunity Type,商机类型
Opportunity Value,商机价值
Opportunity,商机
Optimize Route,优化路线
Optimizing routes.,优化路线。
Option 1,选项1
Option 2,选项2
Option 3,选项3
Option {0} for field {1} is not a child table,为字段{1}设置的选项{0}未被定义为是子表
Option,选项
Optional Holiday List not set for leave period {0},没有为休假期间{0}设置选休假假期表
Optional,可选的
Optional. This setting will be used to filter in various transactions.,可选。此设置将被应用于各种交易进行过滤。
Optional: Always send to these ids. Each Email Address on a new row,可选：总是发送给这些ID。每一行一个电子邮件地址
Optional: The alert will be sent if this expression is true,可选：在这个表达式为真时发送通知
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',选择“动态链接”类型的字段都必须指向另一个选项为'DocType“的链接字段
Options Help,选项帮助
Options must be a valid DocType for field {0} in row {1},为第{1}行的字段{0}设置的选项值必须是有效的单据类型
Options not set for link field {0},链接字段未设置选项{0}
Options required for Link or Table type field {0} in row {1},请为第{2}行中的链接或表类型字段{1}维护选项信息
Options,选项
OQC,出货检验
or attach a,或添加一个
or it is not the default inventory account,或者不是默认库存科目
Or login with,或登录
or,或
Orange,橙色
orange,橙色
Order Confirmation Date,订单确认日期
Order Confirmation No,订单确认号
Order Count,订单数量
Order Entry,订单输入
Order Information,订单信息
Order Qty,订单数量
Order rescheduled for sync,订单重新安排同步
Order Status,订单状态
Order Type must be one of {0},订单类型必须是一个{0}
Order Type,订单类型
Order Value,订单价值
Order,订购
Order/Quot %,订单/报价％
Ordered Items To Be Billed,待开票销售订单明细
Ordered Items To Be Delivered,待出货物料
Ordered Qty,采购与委外数量
Ordered Quantity,采购数量
Ordered,已下单
Orders released for production.,生产工单已释放可开始生产。
Orders,订单
Org Code,机构代码
Org History Heading,公司发展历程标题
Org History,企业发展史
Org,用户组织机构
Organization Name,机构名称
Organization,组织
Organizational Unit,组织单位
Orientation,方向
Origin,起源
ORIGINAL FOR RECIPIENT,收件人原件
Original Item,原物料
Original Value,原值
Other details,其他信息
Other Details,其他详细信息
Other Incomes,其他收入
Other Info,更多信息
Other Reports,其他报表
Other Risk Factors,其他风险因素
Other Settings,其他设置
Other Taxes and Charges,其它税费
Other Territory,其他区域
Other,其他
Others,其他
OTP App,OTP应用程序
OTP Issuer Name,OTP发行人名称
OTP secret can only be reset by the Administrator.,OTP秘密只能由管理员重置。
OTP Secret has been reset. Re-registration will be required on next login.,OTP Secret已被重置。下次登录时需要重新注册。
Out of AMC,出资产管理公司
Out of Order,乱序
Out of Warranty,超出保修期
Out Patient Consulting Charge Item,门诊收费项目
Out Patient Settings,门诊设置
Out Patient SMS Alerts,门诊短信预警
Out Qty,发出数量
Out Value,发出金额
OUT,签出
Outgoing (SMTP) Settings,发邮件设置
Outgoing email account not correct,发件人邮箱账号不正确
Outgoing Rate,出库成本价
Outgoing Salary,支付的工资
Output,产量
Outstanding Amount,待付金额
Outstanding Amt,未付金额
Outstanding Cheques and Deposits to clear,待清账支票及存款
Outstanding for {0} cannot be less than zero ({1}),未付{0}不能小于零（ {1} ）
Outstanding,未付
Outstanding:,未结
outstanding_amount,未付金额
Outward taxable supplies(zero rated),外向应税物资（零评级）
Outward,付款
Over Billing Allowance (%),发票容差(%)
Over Delivery/Receipt Allowance (%),出入库超量控制(%)
Over Order Allowance (%),超框架订单容差(%)
Over Production for Sales and Work Order, 销售订单与工单阀值
Over Transfer Allowance (%),允许超量发料(％),
Over Transfer Allowance,允许超量发料(％),
Overdue and Discounted,已贴现逾期
Overdue Days,逾期天数
Overdue Tasks,逾期任务
Overdue,已逾期
Overlap in scoring between {0} and {1},{0}和{1}之间的得分重叠
Overlapping conditions found between:,之间存在重叠的条件：
Overproduction for Sales and Work Order,超销售和工单数量控制,
Overproduction Percentage For Sales Order,允许工单数量超销售订单百分比
Overproduction Percentage For Work Order,工单超量入库百分比
Overwrite Salary Structure Amount,覆盖薪资结构金额
Owned,资
Owner,制单人
Package Code,封装代码
Package Import,包导入
Package Weight Details,包装重量信息
Package,包
Packages,包
Packed Item,套件明细
Packed Items,套件明细
Packed Qty,装箱数量
Packed quantity must equal quantity for Item {0} in row {1},第{1}行的打包数量必须等于物料{0}数量
Packing List,包装清单
Packing Slip Item,装箱单项
Packing Slip(s) cancelled,装箱单（ S）取消
Packing Slip,装箱单
Packing Unit,包装数量
Page Break,分页符
Page has expired!,页已过期！
Page HTML,页面的HTML
Page Length,页面长度
Page Missing or Moved,页面找不到或被移走了
Page Name,网页名称
Page not found,找不到网页
Page Number,页码
Page Settings,页面设置
Page Shortcuts,页面快速访问
Page Size,纸张大小
Page Title,页标题
Page to show on the website,页面显示网站
Page {0} of {1},第{0}页，共{1}页
Page {0},第{0}
Page,页面
Pages in Desk (place holders),主页（桌面）中的网页（占位符）
Paid Amount (Company Currency),付款金额（本币）
Paid amount + Write Off Amount can not be greater than Grand Total,付款金额+销账金额不能大于总金额
Paid Amount After Tax (Company Currency),税后付款金额(本币)
Paid Amount cannot be greater than total negative outstanding amount {0},付款金额不能大于总未付金额{0}
Paid Amount,付款金额
Paid and Not Delivered,已付款未出货
Paid From Account Type,付款方账户类型
Paid Loan,付费借款
Paid To Account Type,收款方账户类型
Paid,已付款
Pair,对
Pallets,托盘
Parameter Group,参数组
Parameter Name,参数名称
Parameter,参数
Parameters,参数
Parcel Template,包裹模板
Parcels,包裹
Parent Account,父科目
Parent Assessment Group,上一级评估组
Parent Batch,父批
Parent Company,母公司
Parent Cost Center,父成本中心
Parent Customer Group,父（上级）客户组
Parent Department,上级部门
Parent Detail docname,上级物料名
Parent DocType,父单据类型
Parent Error Snapshot,上级错误快照
Parent Field (Tree),父字段(树)
Parent is required to get child table data,获取子表数据时需要父(parent)信息
Parent is the name of the document to which the data will get added to.,Parent是将数据添加到的单据的名称。
Parent Item Group,父（上级）物料组
Parent Item {0} must not be a Stock Item,父项{0}不能勾选了允许库存的物料
Parent Item,上层物料
Parent Label,父标签
Parent Location,父位置
Parent Page,父页面
Parent Procedure,父程序
Parent Sales Person,上级业务员
Parent Service Unit,上一级服务单位
Parent Supplier Group,父供应商组
Parent Table,父表
Parent Task,父任务
Parent Territory,上一级区域
Parent Warehouse,父仓库
Parent,父
Parents Teacher Meeting Attendance,家长会出席情况
Part-time,兼职
Partial Material Transferred,部分发料
Partial Success,部分成功
Partially Completed,部分完成
Partially Depreciated,部分折旧
Partially Fulfilled,部分履行
Partially ordered,已部分下单,
Partially Ordered,部分已下单
Partially Received,部分已收货
Partially Successful,部分成功
Participants,参与者
Particulars,细节
Parties,派对
Partly Billed,部分开票
Partly Delivered,部分出货
Partly Paid and Discounted,已贴现部分付款
Partly Paid,部分付款
Partner Type,合作伙伴类型
Partner website,合作伙伴网站
Party Account Currency,往来单位科目币别
Party Account,往来单位科目
Party Balance,往来余额
Party Bank Account,往来单位银行户头
Party can only be one of ,派对只能是其中之一
Party Details,往来单位信息
Party GSTIN,往来单位纳税登记号
PARTY INFORMATION,往来单位
Party Information,往来单位信息
Party is mandatory,请输入往来单位
Party Link,业务伙伴关联
Party Name,往来单位名称
Party Specific Item,客户/供应商可交易物料
Party Tax Withholding Config,业务伙伴代扣税配置
Party Type and Party is mandatory for {0} account,科目{0}业务伙伴类型及业务伙伴信息必填
Party Type is mandatory,请输入往来类型
Party Type,往来类型
Party User,往来单位用户
Party,往来单位
Pass,通过
Passing Score value should be between 0 and 100,及格分值应在0到100之间
Passing Score,及格分数
Passive,已创建
Passport Number,护照号码
Password cannot be more than 100 characters long,密码不能超过100个字符长
Password for Base DN,密码基础DN
Password is required or select Awaiting Password,需要密码，或者选择等待密码
Password not found,密码未找到
Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically,密码策略不能包含空格或同时连字符。格式将自动重组
Password policy for Salary Slips is not set,未设置工资单密码策略
Password Policy,密码政策
Password reset instructions have been sent to your email,密码重置说明已发送到您的电子邮箱
Password Reset,密码重置
Password Update,密码更新
Password Updated,密码已更新
Password,密码
Past Due Date,过期日期
Paste,粘贴
Patch Log,补丁日志
Patch,补丁
Path to CA Certs File,CA Certs文件的路径
Path to private Key File,私钥文件的路径
Path to Server Certificate,服务器证书的路径
Path,网址路径
Patient Age,患者年龄
Patient Appointment,患者预约
Patient Demographics,患者人口统计学
Patient Details,患者细节
Patient Encounter,患者看诊
Patient Encounters in valid days,只在工作日看诊
Patient History,病史
Patient ID,病人ID
Patient Medical Record,病人医疗记录
Patient Name By,病人姓名By
Patient Name,患者姓名
Patient not found,患者未找到
Patient Registration,病人登记
Patient Relation,患者关系
Patient Service Unit,病人服务单位
Patient,患者
Patinet Service Unit,Patinet服务单位
pause,暂停
Pay Against Benefit Claim,基于福利申请付款
Pay Remaining,支付剩余
Pay To / Recd From,收/付款方
Pay {0} {1},支付{0} {1}
Pay,付款
Payable Account,应付科目
Payable Amount,应付金额
Payable,应付账款
Payables,应付账款
Payer Settings,付款人设置
Payment Account,付款账号
Payment against {0} {1} cannot be greater than Outstanding Amount {2},对{0} {1}的付款不能大于总未付金额{2}
Payment Amount (Company Currency),付款金额(公司本币)
Payment Amount,付款金额
Payment Cancelled,付款已取消
Payment Cancelled. Please check your GoCardless Account for more details,付款已取消。请检查您的GoCardless科目以了解更多信息
Payment Complete,付款完成
Payment Confirmation,付款确认
Payment Date,付款日期
Payment Days,付款天数
Payment Deductions or Loss,扣款或损失
Payment Description,付款说明
Payment Details,付款信息
Payment Document Type,收付款凭证类型
Payment Document,付款单据
Payment Due Date,付款到期日
Payment Entries {0} are un-linked,收付款凭证{0}已被取消关联
Payment Entries,收付款凭证
Payment Entry already exists,收付款凭证已存在
Payment Entry Deduction,扣款
Payment Entry has been modified after you pulled it. Please pull it again.,选择收付款凭证后有修改，请重新选取。
Payment Entry is already created,收付款凭证已创建
Payment Entry Reference,付款参考
Payment Entry,收付款凭证
Payment Failed,支付失败
Payment Failed. Please check your GoCardless Account for more details,支付失败。请检查您的GoCardless科目以了解更多信息
Payment From / To,支付自/至
